step,loss,confidence_level,fatigue_level
677,0.000011,0.9954,0.7630
678,0.000001,0.9986,0.7830
679,0.000011,0.9954,0.7630
680,0.000001,0.9986,0.7830
681,0.000011,0.9954,0.7630
682,0.000001,0.9986,0.7830
683,0.000010,0.9954,0.7630
684,0.000001,0.9986,0.7830
685,0.000010,0.9954,0.7630
686,0.000001,0.9986,0.7830
687,0.000010,0.9955,0.7630
688,0.000001,0.9986,0.7830
689,0.000010,0.9955,0.7630
690,0.000001,0.9986,0.7830
691,0.000010,0.9955,0.7630
692,0.000001,0.9986,0.7830
693,0.000010,0.9955,0.7631
694,0.000001,0.9986,0.7830
695,0.000010,0.9955,0.7631
696,0.000001,0.9986,0.7831
697,0.000010,0.9955,0.7631
698,0.000001,0.9986,0.7831
699,0.000010,0.9955,0.7631
700,0.000001,0.9986,0.7831
701,0.000010,0.9955,0.7631
702,0.000001,0.9986,0.7831
703,0.000010,0.9955,0.7631
704,0.000001,0.9986,0.7831
705,0.000010,0.9956,0.7631
706,0.000001,0.9986,0.7831
707,0.000010,0.9956,0.7631
708,0.000001,0.9986,0.7831
709,0.000010,0.9956,0.7631
710,0.000001,0.9986,0.7831
711,0.000010,0.9956,0.7631
712,0.000001,0.9987,0.7831
713,0.000010,0.9956,0.7631
714,0.000001,0.9987,0.7831
715,0.000010,0.9956,0.7631
716,0.000001,0.9987,0.7831
717,0.000010,0.9956,0.7632
718,0.000001,0.9987,0.7831
719,0.000010,0.9956,0.7632
720,0.000001,0.9987,0.7831
721,0.000009,0.9956,0.7632
722,0.000001,0.9987,0.7832
723,0.000009,0.9957,0.7632
724,0.000001,0.9987,0.7832
725,0.000009,0.9957,0.7632
726,0.000001,0.9987,0.7832
727,0.000009,0.9957,0.7632
728,0.000001,0.9987,0.7832
729,0.000009,0.9957,0.7632
730,0.000001,0.9987,0.7832
731,0.000009,0.9957,0.7632
732,0.000001,0.9987,0.7832
733,0.000009,0.9957,0.7632
734,0.000001,0.9987,0.7832
735,0.000009,0.9957,0.7632
736,0.000001,0.9987,0.7832
737,0.000009,0.9957,0.7632
738,0.000001,0.9987,0.7832
739,0.000009,0.9957,0.7632
740,0.000001,0.9987,0.7832
741,0.000009,0.9957,0.7632
742,0.000001,0.9987,0.7832
743,0.000009,0.9958,0.7633
744,0.000001,0.9987,0.7832
745,0.000009,0.9958,0.7633
746,0.000001,0.9987,0.7833
747,0.000009,0.9958,0.7633
748,0.000001,0.9987,0.7833
749,0.000009,0.9958,0.7633
750,0.000001,0.9987,0.7833
751,0.000009,0.9958,0.7633
752,0.000001,0.9987,0.7833
753,0.000009,0.9958,0.7633
754,0.000001,0.9987,0.7833
755,0.000009,0.9958,0.7633
756,0.000001,0.9987,0.7833
757,0.000009,0.9958,0.7633
758,0.000001,0.9987,0.7833
759,0.000009,0.9958,0.7633
760,0.000001,0.9987,0.7833
761,0.000009,0.9958,0.7633
762,0.000001,0.9987,0.7833
763,0.000009,0.9959,0.7633
764,0.000001,0.9987,0.7833
765,0.000009,0.9959,0.7633
766,0.000001,0.9987,0.7833
767,0.000009,0.9959,0.7633
768,0.000001,0.9987,0.7833
769,0.000008,0.9959,0.7633
770,0.000001,0.9988,0.7833
771,0.000008,0.9959,0.7634
772,0.000001,0.9988,0.7833
773,0.000008,0.9959,0.7634
774,0.000001,0.9988,0.7834
775,0.000008,0.9959,0.7634
776,0.000001,0.9988,0.7834
777,0.000008,0.9959,0.7634
778,0.000001,0.9988,0.7834
779,0.000008,0.9959,0.7634
780,0.000001,0.9988,0.7834
781,0.000008,0.9959,0.7634
782,0.000001,0.9988,0.7834
783,0.000008,0.9960,0.7634
784,0.000001,0.9988,0.7834
785,0.000008,0.9960,0.7634
786,0.000001,0.9988,0.7834
787,0.000008,0.9960,0.7634
788,0.000001,0.9988,0.7834
789,0.000008,0.9960,0.7634
790,0.000001,0.9988,0.7834
791,0.000008,0.9960,0.7634
792,0.000001,0.9988,0.7834
793,0.000008,0.9960,0.7634
794,0.000001,0.9988,0.7834
795,0.000008,0.9960,0.7634
796,0.000001,0.9988,0.7834
797,0.000008,0.9960,0.7634
798,0.000001,0.9988,0.7834
799,0.000008,0.9960,0.7635
800,0.000001,0.9988,0.7834
801,0.000008,0.9960,0.7635
